X.IncMSE,IncNodePurity
trophic_invader,28.1404187848322,11.37693070058
pubyear,21.4534934469484,14.7200603017153
sentiment,12.6619925158782,12.06244189726
journal_category,12.3432310077683,5.23280750934881
citationsyr,9.70297566920824,8.22651995188193
impactfactor,9.58424568273256,12.4368469424016
habitat_type,9.45683939483133,2.84464506571569
last_author_english,6.83045913402097,1.34804537000924
EPA_USDA_conserv,6.76309748564759,1.6048459149247
FWS_NOAA,6.64002494447068,2.79355699008265
fund_NSF,4.29349999671991,1.32750886882791
yiabs,0.972780537985694,7.3967104540747
study_type,-0.825644019190446,1.58689748028749
