X.IncMSE,IncNodePurity
pubyear,27.2289490215073,4.96384757791319
EPA_USDA_conserv,6.91895067621939,0.819810474368954
last_author_english,2.92827977282935,0.425468246101541
fund_NSF,1.99412909654906,0.393015786332014
yiabs,1.73635687733076,2.60887536287738
citationsyr,-0.30320370768062,2.48544527910898
habitat_type,-0.467121035547744,0.689087307638088
trophic_invader,-0.86596331327166,1.69354833312728
impactfactor,-0.890254294636339,2.42880911939321
journal_category,-1.3636635794013,0.972464538594548
FWS_NOAA,-1.65760426433329,0.80824856405979
study_type,-2.70528457824696,0.527375569140533
sentiment,-7.23200555866785,2.55138673928294
