"","variable","avg","upper","lower"
"8","last_author_English",0.41560133078,2.609621935,-2.219766085
"13","effect_size",0.55203950737,2.530856891,-2.065779344
"4","nat_res_funding",1.83487617499,3.797497611,-1.064716124
"3","general_funding",3.0973168338,5.354328159,0.285335064
"12","trophic_invader",4.1380563213,6.56405258,1.929579906
"11","study_type",4.48200976115,6.534882569,1.34208846
"5","habitat_type",5.69150267388,8.263029494,3.120034216
"7","journal_category",8.39668436351,11.70593163,5.635205062
"10","sentiment",9.44645403198,11.91005843,6.02831406
"6","impact_factor",11.42190150582,13.7278358,9.204297017
"2","conserv_funding",14.2611708054,16.49770161,12.03525279
"1","citation_rate",19.7629275662,21.73422676,17.73312016
"9","publication_year",43.0265109047,45.34904897,40.17110725
