"","variable","avg","upper","lower"
"11","study_type",-3.16773219888,-1.096256547,-5.432037041
"8","last_author_English",0.99205620547,3.140256598,-1.353469105
"13","effect_size",3.57499896979,6.418436586,0.634945749
"2","conserv_funding",4.649889674,6.696304699,2.600261429
"3","general_funding",5.69080606611,7.720226954,3.626808182
"4","nat_res_funding",8.34931415449,10.27242419,6.45172891
"5","habitat_type",9.50643031759,11.74349232,7.024357046
"6","impact_factor",9.87836775277,12.45560989,7.056153956
"7","journal_category",13.1736517642,15.57608356,11.01549228
"12","trophic_invader",13.8452983525,15.59929513,11.7287979
"10","sentiment",14.1663779374,16.92190096,11.95420365
"1","citation_rate",16.1177195504,17.99059207,13.80603613
"9","publication_year",34.4788787794,37.36036688,32.13799753
