"","variable","avg","upper","lower"
"13","effect_size",-7.31233883628774,-5.31137549733968,-10.0798822251097
"6","impact_factor",-2.24675287583285,-0.415694783673597,-4.72317933767959
"3","general_funding",-1.41575878230865,1.78908379170304,-3.68826904333725
"11","study_type",-0.555833571604705,1.80155189489284,-2.43459333422512
"5","habitat_type",-0.160758830255902,2.03900744008837,-2.82974204968396
"8","last_author_English",0.990079675312404,2.98321570163492,-1.31320295447971
"4","nat_res_funding",2.07790743755125,4.27114908772048,-0.719445483785179
"12","trophic_invader",5.27826931356308,7.37789575065786,3.39648019123422
"9","publication_year",5.41809630473991,8.32198599379524,2.92958285048412
"10","sentiment",5.5275132779457,8.0265497794186,2.82963764286443
"2","conserv_funding",6.76075580295929,9.77870288167673,4.35572367435429
"7","journal_category",8.71814622067624,11.0231646042156,6.54041991123405
"1","citation_rate",9.53799508084534,11.758326986146,7.01171028987256
