sort_num,refnum,refname,invasive_species,trophic_invader,response_var,response_fxnlgrp,habitat_type,study_type,es_num,es_num2,smd,var,SMD calculation notes,citations,fund_NSF,fund_FWS,fund_NOAA,fund_EPA,fund_USDA,fund_conserv,Funding Sources,Funding notes,Journal,journal_category,pubyear,impactfactor,impactfactor_year,lastauth_country,carp,zebra_mussel,phragmites,spartina,last_author_region,same_first_author,last_author_english
0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
626,1,able2000,Phragmites australis,Primary-producer,Abundance,Benthic Invertebrates,Estuary,Observational,1,1,-0.51,0.1,,121,0,0,1,0,0,0,"(1) New Jersey Sea Grant, (2) Public Service Electric and Gas Inc., (3) Rutgers University Institute of Marine and Coastal Sciences (2000-15)",,Estuaries,Ecosystem,2000,1.031,2000,USA,0,0,1,0,North America,able,1
628,1,able2000,Phragmites australis,Primary-producer,Abundance,Benthic Invertebrates,Estuary,Observational,1,1,-1.1,0.05,,121,0,0,1,0,0,0,"(1) New Jersey Sea Grant, (2) Public Service Electric and Gas Inc., (3) Rutgers University Institute of Marine and Coastal Sciences (2000-15)",,Estuaries,Ecosystem,2000,1.031,2000,USA,0,0,1,0,North America,able,1
625,1,able2000,Phragmites australis,Primary-producer,Abundance,Fish,Estuary,Observational,2,1,-2.98,0.22,,121,0,0,1,0,0,0,"(1) New Jersey Sea Grant, (2) Public Service Electric and Gas Inc., (3) Rutgers University Institute of Marine and Coastal Sciences (2000-15)",,Estuaries,Ecosystem,2000,1.031,2000,USA,0,0,1,0,North America,able,1
627,1,able2000,Phragmites australis,Primary-producer,Abundance,Fish,Estuary,Observational,2,1,-3.41,0.11,,121,0,0,1,0,0,0,"(1) New Jersey Sea Grant, (2) Public Service Electric and Gas Inc., (3) Rutgers University Institute of Marine and Coastal Sciences (2000-15)",,Estuaries,Ecosystem,2000,1.031,2000,USA,0,0,1,0,North America,able,1
602,2,angeler2013,Gonyostomum semen,Primary-producer,Abundance,Benthic Invertebrates,Lake,Observational,3,2,0.78,0.12,,10,0,0,0,1,0,0,Europeau Union REFRESH (244121),,Harmful Algae,General,2013,3.339,2013,Sweden,0,0,0,0,Europe,angeler,0
603,2,angeler2013,Gonyostomum semen,Primary-producer,Diversity,Benthic Invertebrates,Lake,Observational,4,3,-0.03,0.11,,10,0,0,0,1,0,0,Europeau Union REFRESH (244121),,Harmful Algae,General,2013,3.339,2013,Sweden,0,0,0,0,Europe,angeler,0
604,2,angeler2013,Gonyostomum semen,Primary-producer,Physiochemistry,OM,Lake,Observational,5,4,1.05,0.9,,10,0,0,0,1,0,0,Europeau Union REFRESH (244121),,Harmful Algae,General,2013,3.339,2013,Sweden,0,0,0,0,Europe,angeler,0
601,2,angeler2013,Gonyostomum semen,Primary-producer,Physiochemistry,Turbidity,Lake,Observational,6,4,0.16,0.67,,10,0,0,0,1,0,0,Europeau Union REFRESH (244121),,Harmful Algae,General,2013,3.339,2013,Sweden,0,0,0,0,Europe,angeler,0
629,3,angeloni2006,Phragmites australis,Primary-producer,Abundance,Benthic Invertebrates,Lake,Observational,7,5,-0.33,0.51,,119,1,0,0,0,0,0,NSF (DEB-0108847),initial grant and supplement,FEMS Microbiology Letters,General,2006,2.068,2006,USA,0,0,1,0,North America,angeloni,1
630,3,angeloni2006,Phragmites australis,Primary-producer,Diversity,Benthic Invertebrates,Lake,Observational,8,6,-5.32,3.79,,119,1,0,0,0,0,0,NSF (DEB-0108847),initial grant and supplement,FEMS Microbiology Letters,General,2006,2.068,2006,USA,0,0,1,0,North America,angeloni,1
