newobsnum,bywhom?,refnum,refname,invasive_species,trophic_invader,response_var,response_var_details,response_var_units,response_fxnlgrp,habitat_type,study_type,es_num,es_num2,pres_x,pres_n,pres_err,abs_x,abs_n,abs_err,error_type,control_type,abs_conditions,data_source,notes,include,citations,fund_NSF,fund_FWS,fund_NOAA,fund_EPA,fund_USDA,fund_conserv,Funding Sources,Funding notes,Journal,journal_category,pubyear,impactfactor,impactfactor_year,lastauth_country,carp,zebra_mussel,phragmites,spartina,last_author_region,same_first_author,last_author_english
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0
1,Ross,152,albertson2016,Orconectes rusticus,Filter-collector,Abundance,abundance,number/m^2,Benthic Invertebrates,River,Manipulative,1001,1001,54,8,9.3,30.1,8,4,SEM,no species,No invader (crayfish),Figure 5a/5b,,1,0,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater Science,Ecosystem,2016,2.213,2015,USA,0,0,0,0,North America,albertson,1
1.1,Kali,152,albertson2016,Orconectes rusticus,Filter-collector,Diversity,richness,taxon richness,Benthic Invertebrates,River,Manipulative,1002,1002,3.12,8,0.51,2.5,8,0.38,SEM,no species,No invader (crayfish),Figure 5b,,1,0,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater Science,Ecosystem,2016,2.213,2015,USA,0,0,0,0,North America,albertson,1
3,Danie,153,Wang2015,Phragmites australis,Primary-producer,Physiochemistry,nutrients-N,concentrations,Nutrients-N,Lake,Observational,1003,1003,2.2,12,0.5,2,12,0.7,sd,native species,No invader present,Table 1,,1,6,1,0,0,0,0,0,(1) National Science Foundation of China (2) Fujian Provincial Department of Education Foundation (3) the Program for Innovative Research Team at Fujian Normal University (4) Key Sciences and Technology Project of Fujian Province (5) European Research Council Synergy Grant (6) Spanish Government grant (7) Catalan Government Grant,(1) (41371127) (2) (JA13081) (3) (IRTL1205) (4) (2014R1034-1) (5) ERC-2013-SyG-610028 IMBALANCE-P (6) CGL2013-48074-P (7) SGR 2014-274.,Plant Science,General,2015,1.49,2015,China,0,0,1,0,Asia,wang,0
4,Danie,153,Wang2015,Phragmites australis,Primary-producer,Physiochemistry,nutrients-P,concentrations,Nutrients-P,Lake,Observational,1004,1003,0.8,12,0.2,0.8,12,0.3,sd,native species,No invader present,Table 1,Phosphorus in soil,1,6,1,0,0,0,0,0,(1) National Science Foundation of China (2) Fujian Provincial Department of Education Foundation (3) the Program for Innovative Research Team at Fujian Normal University (4) Key Sciences and Technology Project of Fujian Province (5) European Research Council Synergy Grant (6) Spanish Government grant (7) Catalan Government Grant,(1) (41371127) (2) (JA13081) (3) (IRTL1205) (4) (2014R1034-1) (5) ERC-2013-SyG-610028 IMBALANCE-P (6) CGL2013-48074-P (7) SGR 2014-274.,Plant Science,General,2015,1.49,2015,China,0,0,1,0,Asia,wang,0
5,Danie,154,Wang2016a,Phragmites australis,Primary-producer,Physiochemistry,nutrients-P,mg kg -1,Nutrients-P,Lake,Observational,1005,1004,0.926,3,0.403,0.69,3,0.0249,SEM,native species,Invader with native (S. triqueter) at 20-30 cm soil depth -low flooding,Figure 2a,,1,0,1,0,0,0,0,0,(1) National Science Foundation of China (2) Fujian Provincial Department of Education Foundation (3) European Research Council Synergy Grant (4) Spanish Government grant (5) Catalan Government Grant,(1) (31000209) (2) (JA13081) (3) ERC-2013-SyG-610028 IMBALANCE-P (4) (CGL2013-48074-P) (5) (SGR 2014-274).,Wetlands,Ecosystem,2016,1.504,2015,China,0,0,1,0,Asia,wang,0
5.1,Danie,154,Wang2016a,Phragmites australis,Primary-producer,Physiochemistry,nutrients-P,mg kg -1,Nutrients-P,Lake,Observational,1005,1004,0.978,3,0.287,0.1955,3,0.0297,SEM,native species,Invader with native (S. triqueter) at 20-30 cm soil depth -high flooding,Figure 2a,,1,0,1,0,0,0,0,0,(1) National Science Foundation of China (2) Fujian Provincial Department of Education Foundation (3) European Research Council Synergy Grant (4) Spanish Government grant (5) Catalan Government Grant,(1) (31000209) (2) (JA13081) (3) ERC-2013-SyG-610028 IMBALANCE-P (4) (CGL2013-48074-P) (5) (SGR 2014-274).,Wetlands,Ecosystem,2016,1.504,2015,China,0,0,1,0,Asia,wang,0
5.2,Danie,154,Wang2016a,Phragmites australis,Primary-producer,Physiochemistry,nutrients-P,mg kg -1,Nutrients-P,Lake,Observational,1005,1004,0.926,3,0.403,0.647,3,0.0477,SEM,native species,Invader with native (C. malaccencis) in low flooding at 20-30 cm soil depth,Figure 2a,,1,0,1,0,0,0,0,0,(1) National Science Foundation of China (2) Fujian Provincial Department of Education Foundation (3) European Research Council Synergy Grant (4) Spanish Government grant (5) Catalan Government Grant,(1) (31000209) (2) (JA13081) (3) ERC-2013-SyG-610028 IMBALANCE-P (4) (CGL2013-48074-P) (5) (SGR 2014-274).,Wetlands,Ecosystem,2016,1.504,2015,China,0,0,1,0,Asia,wang,0
5.3,Danie,154,Wang2016a,Phragmites australis,Primary-producer,Physiochemistry,nutrients-P,mg kg -1,Nutrients-P,Lake,Observational,1005,1004,0.978,3,0.287,1.533,3,0.0659,SEM,native species,Invader with native (C. malaccencis) in high flooding at 20-30 cm soil depth,Figure 2a,,1,0,1,0,0,0,0,0,(1) National Science Foundation of China (2) Fujian Provincial Department of Education Foundation (3) European Research Council Synergy Grant (4) Spanish Government grant (5) Catalan Government Grant,(1) (31000209) (2) (JA13081) (3) ERC-2013-SyG-610028 IMBALANCE-P (4) (CGL2013-48074-P) (5) (SGR 2014-274).,Wetlands,Ecosystem,2016,1.504,2015,China,0,0,1,0,Asia,wang,0
6,Danie,155,Webb2016,Myriophyllum spicatum,Primary-producer,Abundance,abundance,# of individudals,Benthic Invertebrates,Lake,Manipulative,1006,1005,40.15,4,35.51,39.82,4,51.43,SEM,before-after invasion,"After herbicide treat,emt",Figure 2,Standard errors was difficult to determine on graph/ First (6/03) and last (9/07) dates were used/ presence of invader= Pierson; absence of invader= zumbra,1,0,0,0,0,0,0,1,Aquatic Ecosystem Restoration Foundation,,Journal of Aquatic Plant Management,Conservation,2016,0.257,2015,USA,0,0,0,0,North America,webb,1
64,Danie,158,Weilhoefer2016,Phalaris arundinacea L.,Primary-producer,Abundance,Relative abundance,# of individuals in order,Benthic Invertebrates,Lake,Observational,1007,1006,9,48,20,,,,sd,,,Table 2,,0,0,0,0,0,0,0,0,M J Murdock Charitable Trust Life Science grant,,Wetlands Ecology and Management,Conservation,2016,1.407,2015,USA,0,0,0,0,North America,weilhoefer,1
65,Danie,158,Weilhoefer2016,Phalaris arundinacea L.,Primary-producer,Abundance,Relative abundance,# of individuals in order,Benthic Invertebrates,Lake,Observational,1007,1006,7,48,10,,,,sd,,,Table 2,,0,0,0,0,0,0,0,0,M J Murdock Charitable Trust Life Science grant,,Wetlands Ecology and Management,Conservation,2016,1.407,2015,USA,0,0,0,0,North America,weilhoefer,1
66,Danie,158,Weilhoefer2016,Phalaris arundinacea L.,Primary-producer,Abundance,Relative abundance,# of individuals in order,Benthic Invertebrates,Lake,Observational,1007,1006,10,48,17,,,,sd,,,Table 2,,0,0,0,0,0,0,0,0,M J Murdock Charitable Trust Life Science grant,,Wetlands Ecology and Management,Conservation,2016,1.407,2015,USA,0,0,0,0,North America,weilhoefer,1
67,Danie,158,Weilhoefer2016,Phalaris arundinacea L.,Primary-producer,Abundance,Relative abundance,# of individuals in order,Benthic Invertebrates,Lake,Observational,1007,1006,30,48,32,,,,sd,,,Table 2,,0,0,0,0,0,0,0,0,M J Murdock Charitable Trust Life Science grant,,Wetlands Ecology and Management,Conservation,2016,1.407,2015,USA,0,0,0,0,North America,weilhoefer,1
