refname,colonisz,invasd,total,alien,nonnative,neobiota,nonindigenous,introduced,naturalized,weed,pest,exotic,n_obs,refnum,invasive_species,trophic_invader,response_var,habitat_type,study_type,citations,fund_NSF,fund_FWS,fund_NOAA,fund_EPA,fund_USDA,fund_conserv,Funding.Sources,Funding.notes,Journal,journal_category,pubyear,impactfactor,impactfactor_year,lastauth_country,carp,zebra_mussel,phragmites,spartina,last_author_region,same_first_author,last_author_english,yi,vi,control_type,dataset,NMDS1full_text,NMDS2full_text,FWS_NOAA,EPA_USDA_conserv,citationsyr,sentiment
able2000,0,0,6054,0,0,0,0,0.00016518,0,0,0,0,4,1,Phragmites australis,Primary-producer,Abundance,Estuary,Observational,121,0,0,1,0,0,0,"(1) New Jersey Sea Grant, (2) Public Service Electric and Gas Inc., (3) Rutgers University Institute of Marine and Coastal Sciences (2000-15)",,Estuaries,Ecosystem,2000,1.031,2000,USA,0,0,1,0,North America,able,1,-1.641875,0.151382518,NA,gallardo,-1.191070524,0.123883993,1,0,7.333333333,0.117521152
albertson2016,0,0.006983615,3723,0,0.000537201,0,0,0,0,0,0,0,1,152,Orconectes rusticus,Omnivore,Abundance,River,Manipulative,0,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater Science,Ecosystem,2016,2.213,2015,USA,0,0,0,0,North America,albertson,1,1.115812389,0.288907415,no species,new,0.503380574,-0.144728292,0,0,0,-0.011770229
albertson2016,0,0.006983615,3723,0,0.000537201,0,0,0,0,0,0,0,1,152,Orconectes rusticus,Omnivore,Diversity,River,Manipulative,0,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater Science,Ecosystem,2016,2.213,2015,USA,0,0,0,0,North America,albertson,1,0.460751175,0.256634114,no species,new,0.503380574,-0.144728292,0,0,0,-0.011770229
anderson2014,0,0.004844685,3509,0,0,0,0,0.000284981,0,0,0,0.000569963,1,177,Castor canadensis,Omnivore,Abundance,Lake,Observational,9,1,1,0,0,0,0,"(1) Millennium Scientific Institute, (2) NSF, (3) Wildlife Conservation Society ","(1) post doctoral fellowship (ICM P05-02) (2) Doctoral Dissertation Improvement Grant (DEB-0407875) along with programmes on interantional Research Experience for Students (OISE 0854350) (3) Chile to CBA, MPS and CBA and Coupled Natur-Human Systems (GEO 1262148) to CBA",Diversity and Distributions,Invasions,2014,3.46,2014,Argentina,0,0,0,0,Central and South America,anderson,0,0.145754391,0.111406171,uninvaded,new,0.311617415,-0.420028893,1,0,3.6,0.122112046
anderson2014,0,0.004844685,3509,0,0,0,0,0.000284981,0,0,0,0.000569963,2,177,Castor canadensis,Omnivore,Diversity,Lake,Observational,9,1,1,0,0,0,0,"(1) Millennium Scientific Institute, (2) NSF, (3) Wildlife Conservation Society ","(1) post doctoral fellowship (ICM P05-02) (2) Doctoral Dissertation Improvement Grant (DEB-0407875) along with programmes on interantional Research Experience for Students (OISE 0854350) (3) Chile to CBA, MPS and CBA and Coupled Natur-Human Systems (GEO 1262148) to CBA",Diversity and Distributions,Invasions,2014,3.46,2014,Argentina,0,0,0,0,Central and South America,anderson,0,-0.25302075,0.236720726,uninvaded,new,0.311617415,-0.420028893,1,0,3.6,0.122112046
anderson2014,0,0.004844685,3509,0,0,0,0,0.000284981,0,0,0,0.000569963,1,177,Castor canadensis,Omnivore,Physiochemistry,Lake,Observational,9,1,1,0,0,0,0,"(1) Millennium Scientific Institute, (2) NSF, (3) Wildlife Conservation Society ","(1) post doctoral fellowship (ICM P05-02) (2) Doctoral Dissertation Improvement Grant (DEB-0407875) along with programmes on interantional Research Experience for Students (OISE 0854350) (3) Chile to CBA, MPS and CBA and Coupled Natur-Human Systems (GEO 1262148) to CBA",Diversity and Distributions,Invasions,2014,3.46,2014,Argentina,0,0,0,0,Central and South America,anderson,0,0.733995417,0.11859374,uninvaded,new,0.311617415,-0.420028893,1,0,3.6,0.122112046
angeler2013,0,0.001714531,4666,0,0,0,0,0,0,0,0,0.000214316,1,2,Gonyostomum semen,Primary-producer,Abundance,Lake,Observational,10,0,0,0,1,0,0,Europeau Union REFRESH (244121),,Harmful Algae,General,2013,3.339,2013,Sweden,0,0,0,0,Europe,angeler,0,0.78,0.12,NA,gallardo,-0.042173644,-0.302665052,0,1,2.857142857,0.135896649
angeler2013,0,0.001714531,4666,0,0,0,0,0,0,0,0,0.000214316,1,2,Gonyostomum semen,Primary-producer,Diversity,Lake,Observational,10,0,0,0,1,0,0,Europeau Union REFRESH (244121),,Harmful Algae,General,2013,3.339,2013,Sweden,0,0,0,0,Europe,angeler,0,-0.03,0.11,NA,gallardo,-0.042173644,-0.302665052,0,1,2.857142857,0.135896649
angeler2013,0,0.001714531,4666,0,0,0,0,0,0,0,0,0.000214316,2,2,Gonyostomum semen,Primary-producer,Physiochemistry,Lake,Observational,10,0,0,0,1,0,0,Europeau Union REFRESH (244121),,Harmful Algae,General,2013,3.339,2013,Sweden,0,0,0,0,Europe,angeler,0,0.539808917,0.619739004,NA,gallardo,-0.042173644,-0.302665052,0,1,2.857142857,0.135896649
angeloni2006,0,0.005565217,2875,0,0,0,0,0.000695652,0,0,0,0.002086957,1,3,Phragmites australis,Primary-producer,Abundance,Lake,Observational,119,1,0,0,0,0,0,NSF (DEB-0108847),initial grant and supplement,FEMS Microbiology Letters,General,2006,2.068,2006,USA,0,0,1,0,North America,angeloni,1,-0.33,0.51,NA,gallardo,0.646525224,-0.043427085,0,0,11.33333333,0.066530181
