,refname,total,response_var,response_var_2,trophic_invader,trophic_invader_2,habitat_type,study_type,study_type_2,citations,dataset,response_fxnlgrp,response_fxnlgrp_2,response_fxnlgrp_3,Physicochemical,Critters,Phys.and.Critters,fund_NSF,fund_FWS,fund_NOAA,fund_EPA,fund_USDA,fund_conserv,Journal,journal_category,pubyear,impactfactor,impactfactor_year,lastauth_country,carp,zebra_mussel,phragmites,spartina,bythotrephes,trout,last_author_region,same_first_author,last_author_english,species,FWS_NOAA,USDA_EPA_conserv
1,able2000,6054,Abundance,Abundance,Primary-producer,Primary-producer,Estuary,Observational,Observational,121,gallardo,Multiple,Benthic Invertebrates and Fish,Multiple Critters,0,1,0,0,0,1,0,0,0,Estuaries,Ecosystem,2000,1.031,2000,USA,0,0,1,0,0,0,North America,able,1,Phragmites,1,0
2,albertson2016,3723,Abundance,Abundance,Filter-collector,Filter-collector,River,Manipulative,Manipulative,0,new,Benthic Invertebrates,Benthic Invertebrates,Benthic Invertebrates,0,1,0,0,0,0,0,0,0,Freshwater Science,Ecosystem,2016,2.213,2015,USA,0,0,0,0,0,0,North America,albertson,1,Other,0,0
3,anderson2014,3509,Multiple,ADP,Omnivore,Omnivore,Lake,Observational,Observational,9,new,Benthic Invertebrates,Benthic Invertebrates,Benthic Invertebrates,1,1,1,1,1,0,0,0,0,Diversity and Distributions,Invasions,2014,3.46,2014,Argentina,0,0,0,0,0,0,Central and South America,anderson,0,Other,1,0
4,angeler2013,4664,Multiple,ADP,Primary-producer,Primary-producer,Lake,Observational,Observational,10,gallardo,Benthic Invertebrates,Benthic Invertebrates,Benthic Invertebrates,1,1,1,0,0,0,1,0,0,Harmful Algae,General,2013,3.339,2013,Sweden,0,0,0,0,0,0,Europe,angeler,0,Other,0,1
5,angeloni2006,2875,Multiple,ADP,Primary-producer,Primary-producer,Lake,Observational,Observational,119,gallardo,Multiple,Benthic Invertebrates and Macrophytes,Multiple Critters,1,1,1,1,0,0,0,0,0,FEMS Microbiology Letters,General,2006,2.068,2006,USA,0,0,1,0,0,0,North America,angeloni,1,Phragmites,0,0
6,arthur2010,4974,Diversity,Diversity,Omnivore,Omnivore,Lake,Multiple,Manipulative and Observational,56,gallardo,Fish,Fish,Fish,0,1,0,0,1,0,0,0,0,Aquaculture,General,2010,2.044,2010,UK,0,0,0,0,0,0,Europe,arthur,1,Other,1,0
7,atalah2010,3770,Multiple,AD,Filter-collector,Filter-collector,Lake,Observational,Observational,4,gallardo,Benthic Invertebrates,Benthic Invertebrates,Benthic Invertebrates,0,1,0,0,0,0,1,0,0,Hydrobiologia,General,2010,1.964,2010,Ireland,0,1,0,0,0,0,Europe,lejart,1,Zebra mussel,0,1
8,back2012,4402,Multiple,AD,Primary-producer,Primary-producer,Lake,Manipulative,Manipulative,3,gallardo,Benthic Invertebrates,Benthic Invertebrates,Benthic Invertebrates,0,1,0,0,0,1,0,0,0,Wetlands Ecology and Management,Conservation,2012,1.076,2012,USA,0,0,1,0,0,0,North America,back,1,Phragmites,1,0
9,bajer2009,4297,Abundance,Abundance,Omnivore,Omnivore,Lake,Observational,Observational,94,gallardo,Macrophytes,Macrophytes,Macrophytes,0,1,0,0,0,0,0,0,1,Hydrobiologia,General,2009,1.754,2009,USA,1,0,0,0,0,0,North America,bajer,1,Carp,0,1
10,bajer2015,3555,Abundance,Abundance,Omnivore,Omnivore,Lake,Manipulative,Manipulative,14,new,Macrophytes,Macrophytes,Macrophytes,0,1,0,0,0,0,0,0,1,Global Change Biology,General,2014,7.5,2014,USA,1,0,0,0,0,0,North America,bajer,1,Carp,0,1
11,baldridge2014,4449,Diversity,Diversity,Filter-collector,Filter-collector,Lake,Observational,Observational,1,new,Macrophytes,Macrophytes,Macrophytes,0,1,0,1,0,0,0,0,1,Freshwater Science,Ecosystem,2014,1.762,2014,USA,0,0,0,0,0,0,North America,baldridge,1,Other,0,1
12,baranowska2013,5103,Abundance,Abundance,Filter-collector,Filter-collector,Lake,Observational,Observational,4,gallardo,Phytoplankton,Phytoplankton,Phytoplankton,0,1,0,1,0,0,0,0,0,Inland Waters,Ecosystem,2013,1.432,2013,Canada,0,1,0,0,0,0,North America,baranowska,1,Zebra mussel,0,0
13,barbiero2008,5153,Diversity,Diversity,Predator,Predator,Lake,Observational,Observational,8,gallardo,Phytoplankton,Phytoplankton,Phytoplankton,0,1,0,0,0,0,1,0,0,Journal of Great Lakes Research,Ecosystem,2008,1.393,2008,USA,0,0,0,0,1,0,North America,barbiero,1,Bythotrephes,0,1
14,bassett2012,4716,Abundance,Abundance,Primary-producer,Primary-producer,Lake,Observational,Observational,5,gallardo,Benthic Invertebrates,Benthic Invertebrates,Benthic Invertebrates,0,1,0,0,0,0,0,1,1,Acta Oecologica,General,2012,1.621,2012,New Zealand,0,0,0,0,0,0,Australia and New Zealand,bassett,1,Other,0,1
